id,product,reviewer,review,rating
1,Wireless Headphones,Alice,"Absolutely love these headphones! The sound quality is crystal clear and the bass is phenomenal. Battery life lasts forever. Best purchase I've made this year!",5
2,Wireless Headphones,Bob,"Decent headphones but the ear cushions are uncomfortable after long use. Sound is okay but nothing special for the price.",3
3,Wireless Headphones,Charlie,"Terrible product. Broke after 2 weeks. Customer service was unhelpful and rude. Complete waste of money. Do not buy!",1
4,Smart Watch,Diana,"This watch has completely transformed my fitness routine. The health tracking is incredibly accurate and the battery life is impressive. Highly recommend!",5
5,Smart Watch,Eve,"Mixed feelings about this watch. Some features work great but the GPS is often inaccurate. The app is buggy and crashes frequently.",2
6,Smart Watch,Frank,"Okay product overall. Nothing extraordinary but gets the job done. Would have preferred better water resistance for the price.",3
7,Laptop Stand,Grace,"Game changer for my home office setup! Sturdy, easy to adjust, and looks sleek. My neck pain has completely gone away since using this.",5
8,Laptop Stand,Henry,"The stand wobbles slightly when typing which is annoying. Build quality feels cheap for the price. Returning it.",2
9,Coffee Maker,Irene,"Makes the most delicious coffee I've ever had at home! Easy to use, easy to clean, and the temperature is perfect every time.",5
10,Coffee Maker,Jack,"Coffee maker stopped working after a month. Very disappointed. The carafe lid also leaks. Not worth the money at all.",1
11,Bluetooth Speaker,Karen,"Incredible sound for its size! I bring it everywhere. Waterproof design is a huge plus. Friends always ask me where I got it.",5
12,Bluetooth Speaker,Leo,"Battery life is much worse than advertised. Sound distorts at high volume. Looks nice though, hence the 2 stars.",2
13,Running Shoes,Maria,"Perfect fit right out of the box. No break-in period needed. Extremely comfortable for long runs. My knees feel so much better!",5
14,Running Shoes,Nathan,"Shoes look great but the soles started peeling after just 3 months of regular use. Expected better quality from this brand.",2
15,Yoga Mat,Olivia,"Great mat! Non-slip surface even when sweating. Good thickness for joint protection. Easy to clean and roll up.",4
